CdPt	Bitmap
0020	0000000000
0021	0000000000
0022	0000000000
0023	0000000000
0024	0000000000
0025	0000000000
0026	0000000000
0027	0000000000
0028	0000000000
0029	0000000000
002a	0000000000
002b	0000000000
002c	0000000000
002d	0000000000
002e	0000000000
002f	0000000000
0030	f888a888f8
0031	0048f80800
0032	b8a8a8a8e8
0033	88a8a8a8f8
0034	f01010f810
0035	e8a8a8a8b8
0036	f8a8a8a8b8
0037	80808080f8
0038	f8a8a8a8f8
0039	e8a8a8a8f8
003a	0000000000
003b	0000000000
003c	0000000000
003d	0000000000
003e	0000000000
003f	0000000000
0040	0000000000
0041	78a0a0a078
0042	f8a8a8a858
0043	7088888888
0044	f888888870
0045	f8a8a8a888
0046	f8a0a0a080
0047	7088a8a8b8
0048	f8202020f8
0049	0088f88800
004a	10088888f0
004b	f820205088
004c	f808080808
004d	f8403040f8
004e	f8402010f8
004f	7088888870
0050	f8a0a0a0e0
0051	7088a89068
0052	f8a0b0a848
0053	e8a8a8a8b8
0054	8080f88080
0055	f0080808f0
0056	e0100810e0
0057	f8106010f8
0058	8850205088
0059	8040384080
005a	8898a8c888
